trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.033865535638032206}",25,14,3.913806941196964,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.03217225885613059}",25,4,34.305469121424785,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.030563645913324063}",20,16,7.971692535291408,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.02903546361765786}",20,6,-18.296634609083323,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.027583690436774964}",25,11,18.236968616519658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.026204505914936217}",20,0,22.1571920057881,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.024894280619189402}",25,10,-10.657333891287944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.023649566588229934}",30,13,30.885934251533016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.022467088258818435}",20,6,19.72403454820356,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.02134373384587751}",25,15,18.946387216463123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.020276547153583634}",25,11,24.04974887253136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.01926271979590445}",25,13,21.786827753635556,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.01829958380610923}",30,13,30.411183113250527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.017384604615803767}",25,0,40.44991323340942,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.01651537438501358}",30,24,11.334498259285937,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.0156896056657629}",25,9,26.45241787431777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.014905125382474753}",20,2,30.93120735318934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.014159869113351015}",30,12,14.244656634608653,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.013451875657683464}",30,22,17.61829657975724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.012779281874799289}",20,9,20.56693134461339,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.012140317781059324}",20,3,18.444909537755034,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.011533301892006357}",20,0,22.589395380494803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.01095663679740604}",30,19,20.780208209613622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.010408804957535737}",30,14,29.359612670439343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.00988836470965895}",25,0,40.1590103784146,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.009393946474176}",30,20,20.121121397655426,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.008924249150467202}",20,0,31.549407330860618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.00847803669294384}",25,14,19.16286406567008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
